,ground ginger,light brown sugar,fresh basil,onion powder,lemons,bay leaf,vinegar,dried thyme,cumin,oregano,fresh ground pepper,sesame oil,ground nutmeg,bay leaves,bananas,shredded cheddar cheese,whole milk,red bell pepper,chicken,boiling water,whole wheat flour,crushed red pepper flakes,thyme,fresh lime juice,whipping cream,shortening,apples,fresh thyme,low - fat milk,white wine,lemon zest,chicken breasts,diced tomatoes,breadcrumbs,strawberries,curry powder,basil,cold water,red pepper flakes,white pepper,red bell peppers,green peppers,shrimp,semi - sweet chocolate chips,dry mustard,dried basil,pure vanilla extract,salsa,ground cloves,cooking spray,black beans,chives,garlic salt,warm water,half - and - half,green bell pepper,cider vinegar,feta cheese,monterey jack cheese,almond extract,barbecue sauce,cherry tomatoes,hot sauce,peanut butter,chocolate chips,maple syrup,celery ribs,nuts,lime,sharp cheddar cheese,green pepper,yellow onion,sesame seeds,dark brown sugar,flat leaf parsley,bread,white vinegar,green bell peppers,evaporated milk,molasses,white wine vinegar,cabbage,cocoa powder,almonds,corn,cream,heavy whipping cream,egg yolk,ice,capers,pine nuts,cake flour,orange zest,fresh rosemary,flour tortillas,fresh basil leaves,cucumbers,plain yogurt,fresh parsley leaves,unsweetened cocoa powder,lean ground beef,shallot,avocado,hot water,lettuce,apple cider vinegar,red wine,cloves,peanut oil,red peppers,italian seasoning,fresh mushrooms,ground coriander,black olives,fresh chives,cayenne,yellow onions,sweet potatoes,egg white,rice vinegar,beef broth,sweetened condensed milk,ham,Tabasco sauce,spinach,plum tomatoes,swiss cheese,salt and black pepper,rosemary,cornmeal,rice,limes,cooked chicken,banana,cocoa,ricotta cheese,avocados,blueberries,cooked rice,low sodium chicken broth,seasoning salt,coconut milk,broccoli,turmeric,orange,ice cubes,green beans,cucumber,leeks,rolled oats,red pepper,bell peppers,light corn syrup,of fresh mint,fresh dill,vanilla ice cream,green chilies,skim milk,sliced almonds,salt & pepper,sliced mushrooms,coarse salt,ground allspice,vodka,oranges,bread flour,semisweet chocolate,asparagus,boneless skinless chicken breast halves,allspice,jalapenos,fish sauce,active dry yeast,pasta,basil leaves,red potatoes,cream of tartar,frozen peas,cumin seeds,panko breadcrumbs,slivered almonds,dried cranberries,parmigiano - reggiano cheese,whipped cream,beer,corn tortillas,Philadelphia Cream Cheese,sake,blue cheese,mustard,pineapple juice,romaine lettuce,brandy,vegetable broth,dried parsley,applesauce,graham cracker crumbs,Granny Smith apples,caster sugar,cream of mushroom soup,jalapeno peppers,coconut,cracked black pepper,Greek yogurt,plain flour,vegetable stock,crushed pineapple,goat cheese,bittersweet chocolate,hot pepper sauce,spaghetti,white bread,icing sugar,salt & fresh ground pepper,dry red wine,cooking oil,apple,broccoli florets,mirin,low - fat sour cream,dry sherry,salmon fillets,chickpeas,fresh strawberries,cauliflower,whole cloves,crushed tomatoes,beef stock,butternut squash,celery seeds,ground pork,fresh flat - leaf parsley,fresh thyme leaves,vegetable shortening,cinnamon sticks,jalapeno pepper,lemon peel,apple juice,fresh spinach,peaches,Cool Whip,jalapeno,Velveeta cheese,gingerroot,rum,white onion,ground turkey,kalamata olives,fennel seeds,Baby Spinach,cream of chicken soup,roasted red peppers,creamy peanut butter,chopped tomatoes,coriander,French bread,hard - boiled eggs,beef,frozen chopped spinach,sun - dried tomatoes,yeast,russet potatoes,nonfat milk,fresh oregano,Cool Whip Topping,black peppercorns,golden raisins,dried rosemary,fresh mint leaves,pork tenderloin,olives,prosciutto,dates,peanuts,cottage cheese,yogurt,prepared mustard,pumpkin,white onions,tortilla chips,white chocolate,fresh orange juice,seasoning,pineapple,roma tomatoes,chocolate,potato,dried apricots,sherry wine,cilantro leaves,vanilla bean,low sodium soy sauce,diced onions,leek,kidney beans,raspberries,eggplants,mint leaves,yellow cornmeal,cinnamon stick,green onion,smoked paprika,rice wine vinegar,dry breadcrumbs,unbleached all - purpose flour,fresh cilantro leaves,pumpkin puree,fresh coarse ground black pepper,frozen corn,flaked coconut,mint,spaghetti sauce,coriander seeds,dark rum,button mushrooms,apple cider,coconut oil,oats,pumpkin pie spice,nonstick cooking spray,bell pepper,Bourbon,crabmeat,hoisin sauce,ground pepper,yukon gold potatoes,Italian dressing,caraway seeds,creme fraiche,chili sauce,unsweetened chocolate,grape tomatoes,miniature marshmallows,maraschino cherries,poppy seeds,sherry wine vinegar,eggplant,garam masala,elbow macaroni,ice water,lettuce leaves,mangoes,chicken thighs,pork,arugula,ground red pepper,large shrimp,oyster sauce,dill,sweet onion,dark chocolate,celery salt,radishes,sage,baby carrots,corn syrup,fresh blueberries,lime zest,kale,oatmeal,pork chops,ground cardamom,red food coloring,scallion,old fashioned oats,sweet onions,tomato puree,white rice,baby spinach leaves,green olives,spring onions,pecan halves,provolone cheese,boneless chicken breasts,hazelnuts,fresh gingerroot,ground turmeric,cooked ham,mustard seeds,yellow squash,marshmallows,orange peel,peppercorns,fresh raspberries,celery rib,shredded coconut,lasagna noodles,lemon wedges,light cream,medium shrimp,prepared horseradish,turkey,soymilk,tomato juice,fresh breadcrumbs,artichoke hearts,gruyere cheese,sunflower seeds,quinoa,yellow cake mix
fresh ground pepper,18,12,52,22,38,59,7,50,17,29,0,22,17,45,2,10,18,32,21,24,4,25,47,47,13,2,7,63,12,28,33,13,28,20,5,17,39,14,22,4,28,12,31,0,18,17,1,10,9,10,10,43,24,13,14,10,23,28,8,0,6,31,23,1,0,8,31,2,10,18,7,19,18,7,55,8,13,10,0,2,40,11,0,6,18,10,4,13,0,29,26,1,10,45,6,23,17,14,16,0,8,56,13,2,12,10,19,5,21,12,11,15,24,12,28,20,23,18,10,12,9,0,11,20,19,27,10,0,28,7,3,10,3,0,0,18,23,1,2,17,9,3,17,6,4,1,26,11,27,2,7,10,0,17,29,0,4,9,6,0,11,79,11,6,10,2,0,24,8,5,10,12,4,8,23,21,2,11,17,18,4,10,32,0,9,14,0,1,19,7,2,12,8,13,0,0,0,5,1,3,12,0,1,12,6,11,1,28,1,11,11,15,0,1,12,1,3,5,5,2,23,11,10,1,7,9,10,7,18,9,7,25,28,1,2,9,2,2,8,1,0,9,1,4,2,8,16,16,9,15,0,10,0,9,4,5,7,4,4,12,1,12,2,21,0,9,7,8,12,12,12,11,7,1,1,7,4,4,9,2,0,8,3,4,7,0,3,9,2,12,3,11,4,19,1,0,13,10,6,4,0,13,10,8,4,12,3,1,7,0,11,2,16,3,10,5,0,1,0,3,2,1,7,6,2,24,2,6,10,2,0,9,0,0,2,27,12,5,4,7,2,1,7,1,15,2,11,4,16,13,1,4,7,9,11,0,1,12,13,1,8,5,0,11,2,14,2,2,6,9,6,3,13,7,5,1,6,4,5,8,0,4,4,2,8,1,7,8,3,9,9,7,1,3,21,4,20,0,14,0
sesame oil,39,25,7,18,9,2,59,9,4,1,22,0,1,0,0,0,2,55,27,18,6,51,2,34,1,4,2,3,1,16,6,49,2,10,1,15,8,34,67,67,36,20,62,0,12,4,0,1,1,9,4,8,8,14,1,25,17,3,3,0,8,13,16,27,0,8,3,1,36,0,10,13,220,11,1,3,31,12,0,6,15,49,0,9,11,1,1,4,0,0,4,8,11,3,6,6,43,3,3,0,10,20,7,14,13,14,3,1,140,17,0,9,7,0,6,8,12,5,18,210,7,0,17,13,31,3,0,8,0,2,32,23,10,0,2,0,7,2,30,5,0,13,24,4,8,0,20,36,24,1,22,11,1,9,0,0,0,1,7,5,11,13,1,0,7,4,0,22,8,2,7,61,4,11,7,0,0,10,1,15,4,2,0,0,1,1,0,117,2,7,14,9,1,16,3,0,0,1,4,0,7,1,9,1,7,8,0,1,0,8,10,4,2,4,0,21,0,29,101,0,86,13,5,0,5,0,1,8,4,1,66,2,1,2,1,10,1,9,9,1,0,7,0,72,0,7,5,2,1,9,0,1,19,0,13,0,1,22,2,1,0,1,0,0,0,3,0,2,12,25,5,2,3,34,0,2,1,2,1,1,0,4,12,14,1,0,1,0,42,21,0,69,4,39,0,0,11,7,0,4,40,1,120,0,1,23,0,6,1,0,3,0,5,0,6,1,4,0,0,7,3,1,4,112,4,1,0,2,1,27,0,2,0,0,4,2,2,2,0,1,9,6,25,45,1,3,15,141,0,6,0,1,11,3,9,2,0,5,5,0,5,0,4,50,0,4,3,12,5,1,42,1,0,12,1,64,2,1,2,3,0,2,6,0,4,1,0,1,0,13,3,2,3,1,1,3,1,3,7,0
ground nutmeg,252,94,10,31,8,16,7,39,5,3,17,1,0,24,37,17,55,6,12,20,60,16,11,7,43,43,71,23,22,13,17,1,6,11,8,12,5,17,7,44,10,2,6,13,19,18,29,0,287,41,1,2,11,14,31,4,9,11,4,18,2,2,6,2,6,50,6,19,9,9,4,12,2,54,6,14,5,8,35,59,1,2,5,20,2,22,22,19,0,1,7,14,40,5,3,4,3,13,6,8,8,9,2,20,0,13,7,19,3,3,2,8,25,4,8,10,11,42,24,1,6,17,2,9,9,1,17,3,3,10,0,0,5,17,0,19,1,18,2,14,5,10,2,4,20,10,1,0,5,34,1,2,8,3,5,15,0,13,16,4,6,10,142,3,6,5,6,0,5,15,1,1,11,4,2,1,16,3,12,7,8,16,9,25,9,0,15,0,2,1,10,0,16,11,15,18,20,32,6,1,2,4,2,12,13,7,11,4,3,4,2,6,6,12,7,7,16,2,1,4,4,2,2,3,9,26,3,5,20,8,5,5,7,20,28,1,11,25,7,19,0,3,2,4,14,2,2,1,4,4,0,2,2,1,1,17,3,2,30,4,2,5,13,3,5,7,16,14,7,4,2,2,11,1,4,7,1,36,3,0,4,5,5,1,0,1,8,8,3,2,11,1,2,4,1,2,3,3,8,8,1,2,0,13,16,2,67,1,1,11,1,3,7,20,8,19,15,10,12,6,0,27,5,1,2,6,0,1,4,0,2,2,6,7,1,0,5,6,9,19,2,4,0,0,0,8,1,0,2,2,1,8,1,2,3,6,11,0,6,3,2,55,4,1,17,4,0,1,4,0,3,12,4,1,5,6,8,3,1,1,3,11,2,6,2,3,12,0,12,1,1,3,7,0,5,4,12,4,2,7
bay leaves,12,8,22,46,47,11,39,151,50,84,45,0,24,0,0,7,13,43,46,9,4,51,144,6,6,7,6,126,5,58,13,14,61,15,0,24,48,32,40,42,28,24,52,0,20,38,0,3,21,10,24,17,10,6,18,47,28,2,7,0,8,6,36,1,0,8,118,0,12,4,36,46,3,17,32,9,38,47,5,10,15,27,5,6,17,9,3,5,4,24,9,2,11,48,3,7,2,14,28,0,10,9,8,15,0,30,86,66,16,12,20,7,35,13,9,50,61,10,1,3,54,0,17,27,5,30,4,15,50,6,31,14,7,2,0,5,6,2,23,36,13,16,5,26,14,4,18,4,48,1,12,34,0,8,15,1,11,2,5,18,12,19,21,4,8,1,2,5,3,25,12,1,2,9,5,22,0,27,41,5,4,6,13,0,32,13,0,0,3,2,3,2,12,27,16,1,0,9,1,0,10,1,20,7,10,29,2,4,0,24,10,6,0,12,63,10,3,4,0,2,11,3,8,0,7,85,28,48,9,19,12,22,22,3,39,5,8,5,8,0,0,8,0,6,3,29,6,6,37,4,2,3,1,26,21,11,8,20,2,6,1,7,1,22,0,104,8,17,5,8,11,4,3,3,0,8,0,5,23,1,0,3,8,5,5,3,9,3,8,7,5,6,20,29,16,0,6,8,1,30,1,17,3,1,3,6,2,12,9,0,8,1,47,1,9,14,2,0,0,0,12,2,11,2,8,16,2,14,3,6,0,1,0,0,2,10,0,23,5,4,6,3,17,13,1,7,19,1,7,6,0,9,1,19,16,1,0,0,7,0,6,5,0,3,0,5,26,17,1,15,3,1,2,4,1,4,13,1,28,3,0,1,82,1,27,0,4,12,3,12,3,18,1,11,3,3,9,1,6,0
bananas,14,58,0,1,15,2,13,1,1,0,2,0,37,0,0,0,23,1,0,14,116,0,0,8,29,27,18,0,51,2,11,2,0,0,74,9,0,15,1,0,0,1,2,45,2,0,59,0,12,16,2,0,0,9,15,1,2,0,1,11,2,2,0,43,44,37,1,49,6,1,1,1,6,38,0,8,1,0,11,9,0,3,19,21,0,17,26,13,21,0,1,36,9,0,6,0,1,28,0,15,1,1,2,8,5,6,0,5,2,3,0,0,1,0,0,2,1,6,15,0,0,23,0,1,4,0,0,0,0,1,2,7,0,14,7,4,5,39,1,1,0,31,0,2,10,39,0,0,0,32,0,2,17,3,0,47,1,24,10,0,0,3,10,3,23,13,11,0,0,6,0,0,4,0,0,0,11,0,0,1,6,2,0,37,0,0,6,0,0,1,34,2,6,0,0,43,16,1,17,0,2,27,0,20,12,0,58,1,5,0,0,4,19,0,0,5,10,0,0,7,2,0,2,21,0,1,0,0,1,1,0,0,0,5,3,1,5,14,2,15,33,0,0,2,26,0,0,0,1,0,0,0,15,0,3,5,0,0,1,0,6,0,17,0,13,1,8,0,2,1,2,0,29,9,1,16,1,0,1,0,6,12,0,27,1,15,0,3,1,0,10,0,1,0,0,16,0,2,1,3,0,0,0,0,16,1,4,0,0,14,5,0,2,43,0,1,27,20,5,6,0,7,0,0,0,0,0,0,6,0,1,0,16,34,6,0,1,1,0,4,0,17,0,0,1,0,0,0,0,0,12,0,0,0,1,5,11,7,2,8,0,5,2,0,15,1,0,0,0,0,1,6,0,0,4,1,1,0,0,0,7,5,0,6,0,18,0,0,7,0,0,0,13,0,0,0,0,6,3,11
shredded cheddar cheese,0,6,8,38,0,4,2,14,46,26,10,0,17,7,0,0,11,25,29,3,11,15,11,4,1,7,4,2,31,3,1,27,62,30,0,10,14,7,9,19,21,64,5,0,30,17,0,114,4,26,66,13,33,9,12,37,8,2,56,3,18,3,26,0,0,1,8,2,7,1,24,13,5,0,1,13,3,36,25,0,3,4,0,2,24,6,6,1,0,0,0,0,0,2,85,0,3,6,1,0,52,1,22,3,66,3,2,2,2,13,17,17,5,49,14,8,10,5,5,0,8,2,17,16,8,8,16,4,1,18,4,1,53,0,1,12,15,0,19,4,22,0,39,0,1,0,10,2,2,2,9,13,0,0,1,0,50,12,3,13,30,3,2,0,0,4,0,4,12,2,24,0,5,11,3,13,2,15,3,8,6,1,1,0,6,47,2,0,5,5,0,9,0,7,16,3,0,1,0,70,20,0,6,4,2,2,1,1,1,18,18,5,0,19,2,4,2,17,0,21,1,1,0,0,15,0,9,5,2,5,6,0,1,2,0,8,1,0,11,0,0,14,15,0,0,4,13,2,0,4,58,3,0,19,2,5,10,2,12,2,2,8,7,1,0,0,1,2,0,0,9,2,0,0,18,0,15,0,1,56,0,0,4,0,8,0,4,0,3,2,0,0,23,1,26,0,0,0,14,0,5,3,0,11,1,4,2,3,16,0,0,13,0,0,3,0,3,0,0,13,11,0,5,0,10,0,2,2,0,4,1,1,0,1,3,0,1,0,31,2,0,0,2,1,0,8,1,0,5,3,0,5,1,0,1,1,0,2,1,1,3,0,0,0,0,7,5,12,0,6,0,1,0,9,1,0,0,37,0,7,0,0,0,0,4,1,13,1,5,1,2,7,3,1,2,8,0,2,2,0
whole milk,32,52,12,13,17,20,4,18,1,4,18,2,55,13,23,11,0,8,10,10,17,13,13,10,40,8,8,28,1,7,47,4,3,19,21,2,8,19,13,29,16,2,10,18,17,7,153,3,23,22,1,23,4,16,31,0,3,6,24,26,1,5,16,7,9,27,12,7,4,30,2,19,2,44,25,11,6,4,22,9,7,2,37,7,11,16,50,32,7,5,5,47,28,17,4,11,1,13,5,40,5,7,2,5,0,4,6,1,9,1,4,7,4,3,16,10,17,7,7,2,5,25,9,7,5,4,9,9,9,15,4,2,6,11,8,13,0,18,1,13,6,10,2,2,5,4,3,0,14,4,3,4,26,3,4,22,1,1,12,0,2,10,12,0,5,12,36,3,1,6,7,1,35,6,3,11,8,10,1,23,4,9,38,31,5,1,1,0,7,2,0,0,16,3,2,1,7,9,11,6,1,3,7,3,7,4,0,11,54,4,10,23,5,3,3,3,2,5,0,0,5,2,0,7,2,5,5,2,7,3,18,14,6,20,9,4,12,1,7,11,3,7,6,1,10,5,5,2,7,6,1,3,11,1,1,5,2,2,7,3,2,22,0,2,2,3,14,2,5,1,0,11,1,1,3,8,0,3,5,4,10,3,1,1,4,9,4,3,6,1,74,0,6,6,0,9,3,5,27,20,0,4,0,0,19,5,12,0,4,0,1,2,0,22,4,2,5,1,5,13,2,17,6,0,3,29,0,4,10,1,13,2,2,3,11,1,4,2,19,7,1,3,2,4,2,3,0,1,5,4,16,0,3,1,1,3,13,1,6,1,2,23,4,2,4,2,1,5,1,2,2,4,8,1,3,2,1,4,0,0,5,13,2,7,6,3,6,2,2,1,0,2,0,0,5,1,29,0,1,1
red bell pepper,15,10,51,28,20,38,11,45,62,23,32,55,6,43,1,25,8,0,31,5,2,52,22,51,5,0,3,25,3,32,7,31,52,10,1,41,18,6,56,24,2,3,29,0,11,32,0,24,2,18,81,12,10,4,15,285,27,39,19,0,14,34,41,7,0,5,38,0,43,11,9,65,26,7,28,6,26,20,5,4,31,15,0,6,30,5,5,1,2,16,12,0,9,12,21,27,19,12,18,4,18,15,25,5,12,22,12,4,32,2,23,32,21,24,16,15,11,14,4,33,14,0,10,17,10,23,2,15,11,4,18,23,15,0,0,2,21,0,18,30,10,16,23,15,11,0,21,33,8,0,0,4,1,15,14,0,7,1,5,10,16,20,10,0,11,1,0,16,8,3,21,25,1,7,18,17,0,17,13,14,3,1,5,1,12,13,1,6,4,9,13,17,1,19,5,0,0,1,0,1,23,3,17,6,1,13,3,16,0,25,12,6,0,19,10,6,2,31,15,1,21,6,15,0,14,3,21,13,6,13,11,18,13,1,5,39,3,4,12,2,0,26,1,22,2,28,17,19,8,10,3,1,6,15,11,5,4,5,6,12,0,9,3,18,0,7,8,9,14,18,9,3,1,6,3,2,4,1,9,13,0,7,11,14,13,0,8,3,12,25,1,22,6,7,25,0,25,4,4,2,7,12,27,3,2,24,0,5,22,1,3,6,7,2,17,0,7,0,1,7,1,2,10,23,11,10,7,1,2,14,0,17,0,0,0,5,37,3,4,0,8,10,11,3,6,7,20,16,5,24,0,4,8,2,7,0,0,7,11,1,5,2,0,9,0,7,9,6,10,11,5,3,6,10,1,15,11,3,3,31,0,1,2,0,16,0,4,5,2,22,4,5,0,8,5,8,1,2,15,0
chicken,22,5,12,25,27,52,25,40,37,34,21,27,12,46,0,29,10,31,0,11,2,25,37,15,7,7,6,34,28,23,10,6,28,16,1,50,20,13,17,20,18,27,14,1,13,9,0,21,8,13,18,15,18,12,14,25,20,8,34,0,30,10,19,7,0,4,36,1,14,16,18,28,13,1,12,21,11,20,5,2,7,7,1,13,18,10,9,1,0,9,9,1,2,27,25,13,8,19,24,1,2,14,14,12,17,10,15,17,25,17,9,18,17,8,9,13,8,8,6,15,6,0,12,10,16,10,7,19,25,4,36,12,3,2,2,6,9,1,24,19,16,23,29,22,3,0,12,12,18,1,17,15,0,3,7,0,31,5,10,13,15,14,1,0,5,2,0,10,2,6,11,22,1,12,6,2,0,16,10,4,17,8,10,0,19,24,1,14,11,7,2,9,4,1,7,2,0,2,2,23,9,2,8,6,6,3,1,4,1,3,6,10,0,7,7,19,10,6,7,7,11,2,8,0,4,8,9,1,7,9,4,12,8,2,9,15,5,2,11,1,0,7,10,12,1,12,4,5,9,10,31,6,3,8,11,3,10,7,1,7,0,8,1,5,0,10,4,10,2,1,11,6,0,5,0,12,5,4,9,11,0,1,8,6,5,0,12,8,15,3,0,5,5,6,7,0,5,6,1,15,6,7,2,3,1,7,1,2,8,0,5,0,5,0,6,7,4,1,0,1,15,3,0,12,6,5,8,4,3,6,1,2,0,0,3,2,1,16,5,1,5,3,2,5,3,7,0,9,11,5,0,6,3,11,10,0,2,3,10,1,3,4,3,12,0,5,12,15,5,10,7,3,4,1,0,5,9,2,0,3,0,0,12,0,8,0,4,6,7,2,0,4,2,1,1,5,3,1,6,0
boiling water,21,13,7,3,35,16,23,6,5,15,24,18,20,9,14,3,10,5,11,0,23,2,9,10,33,34,25,7,15,9,13,4,5,4,34,18,12,168,3,7,3,9,7,13,5,4,12,1,18,18,3,4,4,21,10,9,9,5,2,14,2,5,1,6,7,2,5,20,6,3,6,3,8,22,10,5,7,4,13,32,9,12,32,13,4,11,17,9,8,5,8,28,16,1,0,3,9,7,8,39,3,5,5,4,3,1,8,12,10,4,2,7,6,5,2,6,3,2,9,5,1,10,5,0,7,5,4,4,3,21,12,7,4,9,39,4,2,12,8,3,2,1,5,7,12,60,5,9,5,14,6,2,4,16,6,20,1,9,3,1,3,5,7,18,13,4,12,4,2,8,1,5,15,6,5,1,11,7,8,0,4,6,0,17,5,4,21,2,3,1,18,1,9,1,5,8,25,5,24,5,1,12,2,1,7,2,52,1,4,7,2,1,22,1,9,11,4,1,2,6,6,0,10,9,4,15,4,2,2,6,5,1,0,10,6,6,2,10,3,6,30,3,1,10,7,1,2,2,2,4,0,1,2,3,4,0,2,6,0,17,8,1,6,2,78,3,4,3,10,3,2,3,30,4,10,3,5,1,2,1,2,4,3,3,0,12,5,11,2,2,2,6,2,4,2,12,4,8,18,9,2,0,3,1,3,2,1,1,0,7,10,1,4,6,4,4,0,4,4,3,1,0,2,7,1,3,0,2,1,3,9,0,14,13,1,3,1,1,1,2,7,0,4,4,0,1,0,5,1,1,7,5,2,1,2,7,5,3,3,9,1,5,4,2,2,1,6,7,3,1,1,2,0,0,2,6,5,2,4,1,8,1,1,12,2,3,3,2,6,1,2,3,3,3,3,1,0,3,2,4
whole wheat flour,53,26,5,19,4,1,8,5,7,6,4,6,60,4,116,11,17,2,2,23,0,3,6,3,2,26,46,4,49,2,12,0,1,3,10,7,4,25,5,3,2,4,1,32,3,7,24,1,47,30,2,3,1,117,1,5,4,3,0,22,3,2,3,31,35,56,2,22,2,8,3,2,28,42,1,2,6,2,2,79,0,1,19,23,1,2,4,11,0,5,3,6,19,5,0,2,0,15,3,19,0,0,1,28,2,9,0,16,1,1,3,2,2,3,2,2,4,7,43,0,4,0,1,2,5,0,3,0,7,58,1,0,2,23,5,4,2,37,2,2,2,3,2,1,9,0,0,1,2,92,1,2,3,1,2,1,3,59,17,1,3,7,17,0,1,111,2,1,0,20,1,0,97,0,3,2,11,4,3,3,8,26,0,7,7,1,0,0,3,0,2,0,2,2,1,84,3,11,2,0,1,12,2,26,3,7,8,2,4,0,0,0,1,0,0,4,10,1,0,1,1,1,2,6,1,0,1,1,3,2,0,0,0,11,0,0,5,15,2,7,0,0,0,2,0,0,1,0,1,3,0,1,5,0,3,0,2,1,3,7,95,0,24,1,0,1,13,6,2,0,1,1,24,3,5,7,0,16,0,0,3,4,0,4,1,2,3,8,1,0,1,2,1,2,1,5,1,3,20,0,0,1,0,1,29,0,23,0,1,5,3,0,0,5,2,1,26,41,19,10,1,2,0,0,3,0,0,11,1,3,2,1,0,0,13,0,1,2,0,2,0,2,2,0,1,0,1,0,3,3,5,0,0,2,0,0,14,0,1,41,0,7,4,0,50,1,1,0,0,1,0,3,0,0,2,0,1,0,0,0,0,6,0,5,0,5,0,0,1,0,0,0,34,1,0,1,0,32,4,1
crushed red pepper flakes,32,20,69,46,24,51,22,41,44,49,25,51,16,51,0,15,13,52,25,2,3,0,38,29,4,3,1,23,0,31,26,28,63,20,0,27,42,13,5,22,45,12,52,0,21,67,1,6,15,23,18,11,13,9,6,31,25,17,11,0,23,24,13,12,0,6,18,2,15,6,19,25,16,21,47,11,19,25,0,7,23,10,0,5,8,4,5,3,0,35,27,1,10,23,8,46,16,10,22,2,23,19,1,15,7,23,25,3,30,6,36,18,27,18,13,13,36,10,4,37,14,0,2,10,16,35,4,9,18,7,11,10,9,0,1,25,7,1,17,19,20,15,19,9,11,0,9,6,10,0,18,18,1,7,10,0,7,2,5,9,11,22,15,9,5,2,1,18,13,4,11,20,3,15,17,5,0,9,12,17,6,0,29,0,8,5,2,4,5,2,6,3,2,20,12,1,1,4,0,1,10,2,16,8,1,8,3,5,1,14,34,6,0,15,21,8,2,17,7,1,21,6,10,1,4,5,51,7,10,4,17,20,9,1,6,6,8,5,15,0,0,9,4,20,0,12,14,19,39,15,1,18,15,6,5,4,3,4,18,15,0,3,1,18,0,7,11,12,10,10,7,19,1,7,5,1,3,2,9,0,0,8,7,1,11,0,5,4,5,10,0,30,13,1,10,0,9,12,1,5,17,8,20,4,0,19,0,6,1,0,13,11,15,2,8,6,3,0,0,7,9,2,5,25,6,11,8,2,5,5,2,8,1,1,1,6,11,4,4,1,5,6,7,5,7,7,25,4,3,5,1,8,8,7,7,1,0,6,21,0,6,5,0,4,1,13,9,5,8,16,3,0,9,7,1,13,7,2,10,5,0,0,0,0,10,2,17,8,2,25,4,2,0,8,5,9,2,1,5,0
thyme,10,5,11,67,31,180,20,10,47,183,47,2,11,144,0,11,13,22,37,9,6,38,0,2,8,5,13,14,4,66,24,28,32,47,1,23,137,8,26,53,18,30,39,0,24,18,0,2,14,10,8,34,16,9,22,22,12,8,4,0,5,12,9,0,0,10,44,1,9,9,26,21,6,4,39,13,9,13,2,6,15,11,1,9,19,19,9,5,1,12,12,3,10,11,2,1,4,3,35,0,9,31,2,8,3,19,64,21,5,18,9,10,9,15,7,30,14,17,4,1,32,0,9,21,16,20,17,18,158,6,21,7,7,1,0,10,3,0,12,11,21,8,10,5,13,0,19,1,38,1,14,17,1,4,2,2,3,5,2,17,21,8,12,0,7,0,0,10,7,23,2,1,4,12,10,22,1,12,7,13,5,3,19,0,10,1,0,2,8,6,1,1,25,14,11,0,0,12,0,7,5,1,14,1,6,14,0,14,1,6,6,5,0,5,34,6,17,7,0,3,14,7,5,0,8,10,8,29,15,13,19,4,4,3,2,5,3,7,3,0,0,4,1,2,1,19,9,4,8,3,7,7,0,13,9,10,1,20,3,6,1,7,1,2,0,27,3,4,0,13,11,8,2,0,3,0,5,7,21,1,0,2,7,0,7,0,16,3,15,1,2,0,16,14,6,0,13,3,1,0,3,11,2,8,1,0,2,7,4,0,12,5,13,2,4,14,1,3,0,2,15,2,14,2,7,11,0,7,10,7,0,2,0,0,4,6,12,2,4,3,2,2,12,10,2,1,5,1,13,7,0,12,1,92,17,0,0,1,4,2,9,0,0,9,0,5,12,8,4,7,2,1,3,11,2,2,2,2,4,12,0,4,32,1,17,0,4,6,9,5,5,17,3,7,6,7,12,0,4,0
fresh lime juice,21,20,30,9,7,5,4,19,25,8,47,34,7,6,8,4,10,51,15,10,3,29,2,0,11,1,1,15,1,5,7,14,11,2,14,30,10,9,25,13,80,4,40,1,8,2,3,18,12,50,61,8,7,7,5,14,12,6,21,1,4,25,25,7,0,5,8,1,29,3,4,11,18,24,8,0,6,19,2,10,10,6,0,7,34,2,0,2,74,4,7,3,9,7,25,26,38,11,8,1,1,17,64,9,10,5,0,2,31,7,1,3,44,5,9,21,16,11,12,39,1,17,0,15,6,32,2,9,3,4,5,24,6,4,0,2,67,3,3,20,1,20,0,17,6,25,13,32,5,0,5,5,8,59,5,5,7,1,6,2,6,17,21,22,16,0,1,3,24,4,28,97,1,1,15,2,1,0,17,9,3,0,1,5,7,32,1,7,3,0,18,20,1,11,0,0,8,3,3,0,52,2,10,8,2,4,2,7,1,23,4,1,1,10,0,3,1,3,5,3,2,21,9,12,4,3,2,1,4,1,6,6,5,4,3,44,5,1,4,11,0,44,0,14,9,12,8,3,3,5,0,8,18,7,10,0,1,2,1,2,0,2,1,14,0,4,4,2,33,25,1,1,3,11,0,5,0,2,21,17,1,62,4,28,9,0,0,2,5,56,2,40,4,0,4,6,1,33,8,0,7,5,27,3,1,57,0,5,5,1,18,0,13,17,3,1,1,0,0,2,3,8,3,11,8,3,1,0,4,6,0,13,0,1,3,6,0,7,0,4,17,58,7,2,7,27,27,5,2,6,1,1,20,0,2,1,4,111,6,0,2,5,2,12,0,7,0,3,2,2,3,1,1,5,2,17,6,0,2,2,0,3,0,7,2,4,1,3,1,31,4,2,0,9,3,0,0,0,12,1
